131,104,83,brown
107,68,35,brown
44,22,8,brown
102,76,41,brown
50,20,20,brown
153,100,20,brown
101,67,32,brown
152,118,83,brown
139,69,18,brown
110,78,55,brown
33,83,54,green
125,194,75,green
0,128,1,green
0,166,82,green
0,255,0,green
37,202,38,green
159,217,140,green
64,189,85,green
125,232,88,green
123,252,1,green
35,67,17,green
0,48,143,blue
0,113,254,blue
1,0,128,blue
0,52,102,blue
0,191,254,blue
2,71,254,blue
0,0,254,blue
0,14,137,blue
0,35,101,blue
0,123,183,blue
1,206,209,turquoise
174,238,238,turquoise
74,150,150,turquoise
20,178,185,turquoise
48,213,199,turquoise
6,193,172,turquoise
72,208,204,turquoise
0,255,239,turquoise
8,232,222,turquoise
160,171,179,grey
168,169,173,grey
145,163,177,grey
185,187,190,grey
166,166,166,grey
210,217,219,grey
175,177,174,grey
207,207,207,grey
147,149,153,grey
192,192,192,grey
231,84,128,pink
224,33,137,pink
222,112,161,pink
247,127,189,pink
223,82,134,pink
207,107,169,pink
204,52,103,pink
241,141,205,pink
226,80,151,pink
220,0,3,red
139,0,0,red
204,22,0,red
209,23,23,red
61,13,3,red
206,0,25,red
254,0,0,red
254,0,2,red
128,24,24,red
174,32,26,red
159,0,255,purple
145,0,255,purple
127,0,255,purple
127,0,255,purple
145,0,255,purple
148,0,210,purple
145,0,255,purple
148,0,211,purple
125,0,240,purple
130,0,220,purple
200,173,127,beige
244,246,221,beige
248,248,217,beige
243,243,223,beige
195,181,170,beige
217,217,155,beige
247,245,220,beige
255,248,220,beige
245,245,220,beige
181,166,166,beige
255,183,9,yellow
247,224,23,yellow
255,255,0,yellow
255,166,0,yellow
254,242,0,yellow
252,234,4,yellow
255,242,39,yellow
255,215,12,yellow
246,191,39,yellow
249,217,94,yellow
250,250,250,white
238,228,220,white
248,249,254,white
253,251,251,white
250,240,230,white
255,255,255,white
249,255,241,white
247,247,247,white
242,233,228,white
243,239,227,white
37,37,37,black
28,28,28,black
27,32,35,black
49,54,57,black
47,47,47,black
0,0,0,black
9,0,0,black
28,29,33,black
40,39,45,black
36,29,33,black
254,101,33,orange
255,153,0,orange
255,102,0,orange
255,103,0,orange
255,122,1,orange
255,103,0,orange
255,127,0,orange
252,79,19,orange
255,128,0,orange
